Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Sample Interval,3.84025e-07,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,5,,1,,1,,1,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.230e-04,7.9,8.1,-0.74,-0.74,-0.04,-8.9407e-10,0.34,0.38
-9.227e-04,7.9,7.9,-0.74,-0.78,-0.04,-0.08,0.34,0.3
-9.223e-04,8.1,8.1,-0.78,-0.74,-0.04,-8.9407e-10,0.34,0.34
-9.219e-04,8.1,7.9,-0.78,-0.78,-0.04,-0.08,0.34,0.3
-9.215e-04,7.9,8.1,-0.74,-0.74,-0.04,-8.9407e-10,0.34,0.34
-9.211e-04,7.9,7.9,-0.78,-0.82,-0.04,-0.08,0.34,0.3
-9.207e-04,7.9,8.1,-0.78,-0.74,-0.08,-8.9407e-10,0.3,0.34
-9.203e-04,7.9,7.9,-0.74,-0.78,-0.04,-0.08,0.34,0.3
-9.200e-04,8.1,8.1,-0.78,-0.74,-0.04,-0.04,0.3,0.34
-9.196e-04,8.1,7.9,-0.78,-0.82,-0.04,-0.08,0.34,0.3
-9.192e-04,7.9,8.1,-0.78,-0.74,-0.08,-0.04,0.3,0.34
-9.188e-04,8.1,7.9,-0.78,-0.78,-0.08,-0.08,0.3,0.26
-9.184e-04,7.9,8.1,-0.78,-0.74,-0.08,-0.04,0.34,0.34
-9.180e-04,7.9,7.9,-0.78,-0.82,-0.08,-0.08,0.3,0.26
-9.177e-04,7.9,8.1,-0.74,-0.74,-0.08,-0.04,0.3,0.34
-9.173e-04,8.1,7.9,-0.74,-0.82,-0.04,-0.12,0.3,0.26
-9.169e-04,7.9,8.1,-0.78,-0.74,-0.08,-0.04,0.3,0.34
-9.165e-04,7.9,7.9,-0.78,-0.78,-0.08,-0.12,0.3,0.26
-9.161e-04,7.9,8.1,-0.78,-0.74,-0.08,-0.04,0.3,0.34
