




Relative time,Ch1,Ch2
s,V,V
0.016588,-7.0147061,-3.4225492
0.016589,-6.6691179,-3.419608
0.01659,-6.6200983,-3.4166669
0.016591,-6.89951,-3.4166669
0.016592,-7.1029414,-3.42451
0.016593,-7.2107846,-3.4215688
0.016594,-7.2500003,-3.4205884
0.016595,-7.284314,-3.4127453
0.016596,-7.2696081,-3.4156865
0.016597,-7.3235297,-3.4176473
0.016598,-7.3651963,-3.4176473
0.016599,-7.3186277,-3.4068629
0.0166,-7.3480395,-3.4107845
0.016601,-7.3799022,-3.401961
0.016602,-7.411765,-3.4117649
0.016603,-7.4632356,-3.4098041
0.016604,-7.3480395,-3.4078433
0.016605,-7.4607846,-3.4107845
0.016606,-7.3676473,-3.4058826
0.016607,-7.4583336,-3.4078433
0.016608,-7.4656865,-3.4088237
0.016609,-7.4656865,0.33431375
0.01661,-7.5931375,0.43333336
0.016611,-7.6372552,0.38235296
0.016612,-7.5073532,0.37549022
0.016613,-7.3921571,0.37254904
0.016614,-7.2549022,0.35686277
0.016615,-7.3774512,0.35784316
0.016616,-7.8308826,0.35784316
0.016617,-8.2009807,0.32941178
0.016618,-8.4436277,0.32647061
0.016619,-8.6151964,0.32450982
0.01662,-8.6029415,0.31764708
0.016621,-8.6397062,0.30490198
0.016622,-8.6519611,0.30980394
0.016623,-8.7205885,0.30588237
0.016624,-8.6960787,0.30980394
0.016625,-8.7058827,0.28333335
0.016626,-8.669118,0.28333335
0.016627,-8.6225493,0.27941178
0.016628,-8.5980395,0.2892157
0.016629,-8.5073532,0.26960786
0.01663,-8.3063728,0.27549021
0.016631,-8.0612748,0.27058825
0.016632,-7.6151963,-3.4588237
0.016633,-7.0049022,-3.5313728
0.016634,-6.5049022,-3.5156865
0.016635,-6.1985296,-3.5127453
0.016636,-6.02451,-3.5215688
0.016637,-5.9093139,-3.5029414
0.016638,-5.8946081,-3.4921571
0.016639,-5.8676473,-3.5049022
0.01664,-5.7965688,-3.4803924
0.016641,-5.8284316,-3.4823531
0.016642,-5.8357845,-3.47451
0.016643,-5.8161767,-3.4774512
0.016644,-5.8333335,-3.4656865
0.016645,-5.8014708,-3.4754904
0.016646,-5.8112747,-3.4754904
0.016647,-5.7524512,-3.4627453
0.016648,-5.8161767,-3.4676473
0.016649,-5.8504904,-3.4617649
0.01665,-5.8431375,-3.4617649
0.016651,-5.776961,-3.451961
0.016652,-5.8235296,-3.4558826
0.016653,-5.9093139,-3.4441179
0.016654,-6.0514708,-3.347059
0.016655,-6.3578434,-3.4480394
0.016656,-7.0000002,-3.4480394
0.016657,-7.7941179,-3.4441179
0.016658,-8.2720591,-3.4382355
0.016659,-7.9509807,-3.4392159
0.01666,-7.6029414,-3.4401963
0.016661,-7.3357846,-3.4382355
0.016662,-7.2647061,-3.4313728
0.016663,-7.2328434,-3.4362747
0.016664,-7.2254905,-3.3627453
0.016665,-7.0857846,-3.4215688
0.016666,-6.7647061,-3.4343139
0.016667,-6.5857845,-3.4303924
0.016668,-6.9142159,-3.4284316
0.016669,-7.036765,-3.4274512
0.01667,-7.1691179,-3.4215688
0.016671,-7.2965689,-3.4225492
0.016672,-7.2426473,-3.4176473
0.016673,-7.3014708,-3.4274512
0.016674,-7.3137257,-3.42451
0.016675,-7.3088238,-3.419608
0.016676,-7.3553924,-3.419608
0.016677,-7.404412,-3.429412
0.016678,-7.411765,-3.4156865
0.016679,-7.3284316,-3.4176473
0.01668,-7.3700983,-3.4176473
0.016681,-7.4656865,-3.3990198
0.016682,-7.5049022,-3.4127453
0.016683,-7.4362748,-3.4137257
0.016684,-7.4877454,-3.4147061
0.016685,-7.4779414,-3.4176473
0.016686,-7.5049022,-3.4166669
0.016687,-7.4754905,-3.4186277
0.016688,-7.5759807,-3.4117649
0.016689,-7.529412,-3.4117649
0.01669,-7.536765,-3.3166669
0.016691,-7.6789218,0.46764709
0.016692,-7.786765,0.37941179
0.016693,-7.6985297,0.37058826
0.016694,-7.6004905,0.36666669
0.016695,-7.4852944,0.34803924
0.016696,-7.4509807,0.35098041
0.016697,-7.7696081,0.34313728
0.016698,-8.2303924,0.327451
0.016699,-8.5000003,0.32254904
0.0167,-8.6078434,0.32843139
0.016701,-8.7745101,0.30980394
0.016702,-8.7573533,0.29803923
0.016703,-8.8137258,0.31176472
0.016704,-8.8063729,0.30098041
0.016705,-8.8137258,0.29803923
0.016706,-8.9068631,0.3019608
0.016707,-8.8161768,0.27254904
0.016708,-8.7352944,0.2764706
0.016709,-8.6813729,0.27352943
0.01671,-8.5122552,0.277451
0.016711,-8.3553925,0.27058825
0.016712,-7.8235297,0.27156864
0.016713,-7.5735297,0.26666668
0.016714,-7.2181375,0.25882354
0.016715,-7.0465689,0.24607845
0.016716,-7.0661767,0.26274511
0.016717,-7.0000002,-3.7941179
0.016718,-6.7132355,-3.5558826
0.016719,-6.3946081,-3.5392159
0.01672,-6.1348041,-3.5372551
0.016721,-5.9975492,-3.5343139
0.016722,-5.9485296,-3.5264708
0.016723,-5.904412,-3.5215688
0.016724,-5.901961,-3.5098041
0.016725,-5.8676473,-3.5039218
0.016726,-5.8578433,-3.5000002
0.016727,-5.9240198,-3.497059
0.016728,-5.8578433,-3.4813728
0.016729,-5.8700982,-3.4960786
0.01673,-5.8357845,-3.4901963
0.016731,-5.8529414,-3.4901963
0.016732,-5.8455884,-3.4725492
0.016733,-5.8578433,-3.4813728
0.016734,-5.7990198,-3.4813728
0.016735,-5.8284316,-3.4764708
0.016736,-5.8112747,-3.4598041
0.016737,-5.7647061,-3.4715688
0.016738,-5.8088237,-3.4676473
0.016739,-5.9632355,-3.4539218
0.01674,-6.0686277,-3.4764708
